Modelo,Accuracy (CV),Precision (CV),Recall (CV),F1 (CV),Versión
LogReg,0.7971489555774585,0.551702896762258,0.8355870784329791,0.66456787694606,Base
RandomForest,0.8392496808883565,0.701152971419767,0.5780585608887227,0.6335190706202904,Base
lgbm,0.8066695650020986,0.5651496581407623,0.8515497219412896,0.6793475467401723,Base
xgb,0.8409388248831627,0.6954192784204493,0.602959989901374,0.6457468831093577,Base
